batch_id,timestamp,tray_position,batch_temp_high,batch_temp_low,ambient_temp,facility_temp,sensor_status,quality_check_status,container_id,external_pressure,thermal_reading,relative_humidity,calibration_date,product_name,heat_unit,cold_value,t_min,notes
B10041,2025-02-09 20:00:00,AO1,6.2,3.7,21.6,19.2,ACTIVE,PASS,C5541,1014.3,4.3,46.8,2024-12-25,DTaP,4.4,1.9,2.0,Normal operation
B10042,2025-02-10 8:00:00,AP2,4.7,4.2,21.8,19.4,ACTIVE,PASS,C5542,1014.1,4.6,46.6,2024-12-26,HPV,4.7,2.1,2.0,Normal operation
B10042,2025-02-10 12:00:00,AP2,5.8,4.3,24.1,20.5,ACTIVE,PASS,C5542,1012.1,5.3,44.6,2024-12-26,HPV,5.4,2.6,2.5,Normal operation
B10042,2025-02-10 16:00:00,AP2,3.0,2.8,23.7,20.2,ACTIVE,PASS,C5542,1012.4,5.1,44.9,2024-12-26,HPV,5.2,2.4,2.5,Normal operation
B10042,2025-02-10 20:00:00,AP2,6.9,6.5,23.3,20.0,ACTIVE,PASS,C5542,1012.6,5.0,45.1,2024-12-26,HPV,5.1,2.3,2.5,Normal operation
B10043,2025-02-11 8:00:00,AQ3,7.2,2.7,21.3,18.9,ACTIVE,PASS,C5543,1014.6,4.1,47.1,2024-12-27,Rotavirus,4.2,1.7,2.0,Normal operation
B10043,2025-02-11 12:00:00,AQ3,4.0,3.8,21.2,18.8,ACTIVE,PASS,C5543,1014.7,4.7,47.2,2024-12-27,Rotavirus,4.8,2.2,2.5,Normal operation
B10043,2025-02-11 16:00:00,AQ3,5.6,3.9,21.5,19.1,ACTIVE,PASS,C5543,1014.4,4.3,46.9,2024-12-27,Rotavirus,4.4,1.8,2.0,Temperature recovering
B10043,2025-02-11 20:00:00,AQ3,5.2,4.1,21.6,19.2,ACTIVE,PASS,C5543,1014.3,4.4,46.8,2024-12-27,Rotavirus,4.5,1.9,2.0,Normal operation
B10044,2025-02-12 8:00:00,AR4,5.5,4.9,21.7,19.3,ACTIVE,PASS,C5544,1014.2,4.5,46.7,2024-12-28,Pneumococcal,4.6,2.0,2.0,Normal operation
B10044,2025-02-12 12:00:00,AR4,6.3,3.8,23.3,19.8,ACTIVE,PASS,C5544,1012.9,5.1,45.5,2024-12-28,Pneumococcal,5.2,2.5,2.8,Normal operation
B10044,2025-02-12 16:00:00,AR4,4.1,3.9,22.8,19.6,ACTIVE,PASS,C5544,1013.2,4.9,45.8,2024-12-28,Pneumococcal,5.0,2.3,2.5,Normal operation
B10044,2025-02-12 20:00:00,AR4,5.0,3.1,22.1,19.4,ACTIVE,PASS,C5544,1013.6,4.7,46.1,2024-12-28,Pneumococcal,4.8,2.2,2.5,Normal operation
B10045,2025-02-13 8:00:00,AS5,5.1,4.6,20.8,18.5,ACTIVE,FAIL,C5545,1014.9,3.4,47.4,2024-12-29,Meningococcal,3.5,1.1,2.0,Temperature below range
B10045,2025-02-13 12:00:00,AS5,5.5,4.0,20.3,18.0,ACTIVE,FAIL,C5545,1015.2,1.0,47.7,2024-12-29,Meningococcal,1.1,-0.3,2.8,Critical low temperature
B10045,2025-02-13 16:00:00,AS5,4.8,3.2,20.6,18.3,ACTIVE,FAIL,C5545,1015.0,1.7,47.5,2024-12-29,Meningococcal,1.8,0.3,2.0,Temperature slowly recovering
B10045,2025-02-13 20:00:00,AS5,4.6,3.2,21.1,18.7,ACTIVE,FAIL,C5545,1014.8,2.7,47.3,2024-12-29,Meningococcal,2.8,0.8,2.0,Temperature still below range
B10046,2025-02-14 8:00:00,AT1,4.4,1.5,21.5,19.1,ACTIVE,PASS,C5546,1014.4,4.3,46.9,2024-12-30,Influenza,4.4,1.9,2.0,Normal operation
B10046,2025-02-14 12:00:00,AT1,6.5,2.2,23.8,20.3,ACTIVE,PASS,C5546,1012.4,5.2,44.9,2024-12-30,Influenza,5.3,2.6,2.0,Normal operation
B10046,2025-02-14 16:00:00,AT1,5.4,4.7,23.3,20.0,ACTIVE,PASS,C5546,1012.7,5.0,45.2,2024-12-30,Influenza,5.1,2.4,2.0,Normal operation
B10046,2025-02-14 20:00:00,AT1,6.9,6.0,22.9,19.7,ACTIVE,PASS,C5546,1013.0,4.9,45.5,2024-12-30,Influenza,5.0,2.3,2.0,Normal operation
B10047,2025-02-15 8:00:00,AU2,6.8,6.6,21.3,18.9,ACTIVE,PASS,C5547,1014.6,4.7,47.1,2024-12-31,Tdap,4.8,2.2,3.0,Normal operation
B10047,2025-02-15 12:00:00,AU2,6.0,3.2,21.6,19.2,ACTIVE,PASS,C5547,1014.3,4.3,46.8,2024-12-31,Tdap,4.4,1.8,2.0,Temperature improving
B10047,2025-02-15 16:00:00,AU2,5.1,4.7,21.8,19.3,ACTIVE,PASS,C5547,1014.1,4.4,46.6,2024-12-31,Tdap,4.5,1.9,2.0,Normal operation
B10047,2025-02-15 20:00:00,AU2,4.5,3.4,21.5,19.1,ACTIVE,PASS,C5547,1014.4,4.2,46.9,2024-12-31,Tdap,4.3,1.8,2.0,Normal operation
B10048,2025-02-16 8:00:00,AV3,6.7,2.4,21.7,19.3,ACTIVE,PASS,C5548,1014.2,4.5,46.7,2025-01-01,Hepatitis A,4.6,2.0,2.0,Normal operation
B10048,2025-02-16 12:00:00,AV3,6.4,2.4,24.0,20.4,ACTIVE,PASS,C5548,1012.2,5.1,44.7,2025-01-01,Hepatitis A,5.2,2.5,2.0,Normal operation
B10048,2025-02-16 16:00:00,AV3,8.2,3.5,23.6,20.1,ACTIVE,PASS,C5548,1012.5,4.9,45.0,2025-01-01,Hepatitis A,5.0,2.3,2.0,Normal operation
B10048,2025-02-16 20:00:00,AV3,6.8,5.1,23.2,19.9,ACTIVE,PASS,C5548,1012.8,4.8,45.3,2025-01-01,Hepatitis A,4.9,2.2,2.0,Normal operation
B10049,2025-02-17 8:00:00,AW4,4.0,3.1,21.2,18.8,ACTIVE,PASS,C5549,1014.7,4.7,47.2,2025-01-02,Varicella,4.8,2.2,2.5,Normal operation
B10049,2025-02-17 12:00:00,AW4,7.1,3.5,21.5,19.1,ACTIVE,PASS,C5549,1014.4,4.2,46.9,2025-01-02,Varicella,4.3,1.7,2.0,Normal operation
B10049,2025-02-17 16:00:00,AW4,4.9,4.0,21.7,19.2,ACTIVE,PASS,C5549,1014.2,4.3,46.7,2025-01-02,Varicella,4.4,1.8,2.0,Normal operation
B10049,2025-02-17 20:00:00,AW4,6.1,4.7,21.4,19.0,ACTIVE,PASS,C5549,1014.5,4.1,47.0,2025-01-02,Varicella,4.2,1.7,2.0,Normal operation
B10050,2025-02-18 8:00:00,AX5,3.8,2.7,21.6,19.2,ACTIVE,PASS,C5550,1014.3,4.4,46.8,2025-01-03,MMR,4.5,1.9,2.0,Normal operation
B10050,2025-02-18 12:00:00,AX5,6.5,5.1,23.2,19.7,ACTIVE,PASS,C5550,1013.0,4.6,45.6,2025-01-03,MMR,4.7,2.1,2.0,Normal operation
B10050,2025-02-18 16:00:00,AX5,6.2,4.9,22.7,19.5,ACTIVE,PASS,C5550,1013.3,4.4,45.9,2025-01-03,MMR,4.5,1.9,2.0,Normal operation
B10050,2025-02-18 20:00:00,AX5,7.4,5.0,22.1,19.3,ACTIVE,PASS,C5550,1013.5,4.2,46.1,2025-01-03,MMR,4.3,1.8,2.0,Normal operation
B10001,2025-01-01 8:00:00,A1,3.9,2.4,22.3,19.8,ACTIVE,PASS,C5501,1013.2,5.1,45.2,2024-11-15,Varicella,5.2,2.6,2.0,Normal operation
B10001,2025-01-01 12:00:00,A1,3.0,2.9,23.1,20.1,ACTIVE,PASS,C5501,1012.8,5.3,44.8,2024-11-15,Varicella,5.4,2.7,2.0,Normal operation
B10001,2025-01-01 16:00:00,A1,5.6,2.9,22.8,19.9,ACTIVE,PASS,C5501,1012.5,5.2,45.0,2024-11-15,Varicella,5.3,2.5,2.0,Normal operation
B10001,2025-01-01 20:00:00,A1,5.3,4.7,21.9,19.7,ACTIVE,PASS,C5501,1013.0,5.0,45.5,2024-11-15,Varicella,5.1,2.3,2.0,Normal operation
B10002,2025-01-01 8:00:00,B3,4.7,2.7,22.0,19.5,ACTIVE,PASS,C5502,1013.5,4.8,46.2,2024-11-16,MMR,4.9,2.2,2.0,Normal operation
B10002,2025-01-01 12:00:00,B3,6.7,3.5,23.5,20.3,ACTIVE,PASS,C5502,1012.6,4.6,45.3,2024-11-16,MMR,4.7,2.1,2.0,Normal operation
B10002,2025-01-01 16:00:00,B3,7.4,2.9,22.9,20.0,ACTIVE,PASS,C5502,1012.4,4.4,45.5,2024-11-16,MMR,4.5,2.0,2.0,Normal operation
B10002,2025-01-01 20:00:00,B3,6.3,2.7,22.1,19.8,ACTIVE,PASS,C5502,1012.9,4.2,45.8,2024-11-16,MMR,4.3,1.9,2.0,Normal operation
B10003,2025-01-02 8:00:00,C2,7.3,2.7,21.8,19.4,ACTIVE,PASS,C5503,1014.0,4.1,46.5,2024-11-17,Polio,4.2,1.8,2.0,Normal operation
B10003,2025-01-02 12:00:00,C2,4.6,2.7,22.5,19.7,ACTIVE,PASS,C5503,1013.7,4.3,46.2,2024-11-17,Polio,4.4,1.9,2.0,Normal operation
B10003,2025-01-02 16:00:00,C2,6.2,2.3,22.7,19.9,ACTIVE,PASS,C5503,1013.5,4.4,45.9,2024-11-17,Polio,4.5,2.0,2.0,Normal operation
B10003,2025-01-02 20:00:00,C2,2.7,2.4,22.4,19.8,ACTIVE,PASS,C5503,1013.6,4.6,46.0,2024-11-17,Polio,4.7,2.1,2.0,Normal operation
B10004,2025-01-03 8:00:00,D4,4.4,2.2,22.0,19.6,ACTIVE,PASS,C5504,1013.8,4.9,46.3,2024-11-18,Hepatitis B,5.0,2.3,2.0,Normal operation
B10004,2025-01-03 12:00:00,D4,6.8,6.0,24.0,20.5,ACTIVE,PASS,C5504,1012.2,5.1,44.8,2024-11-18,Hepatitis B,5.2,2.4,2.0,Normal operation
B10004,2025-01-03 16:00:00,D4,7.3,7.2,23.5,20.2,ACTIVE,PASS,C5504,1012.4,4.9,45.0,2024-11-18,Hepatitis B,5.0,2.3,2.0,Normal operation
B10004,2025-01-03 20:00:00,D4,5.5,2.9,23.0,20.0,ACTIVE,PASS,C5504,1012.7,4.7,45.3,2024-11-18,Hepatitis B,4.8,2.2,2.0,Normal operation
B10005,2025-01-04 8:00:00,E5,6.4,3.9,21.9,19.5,ACTIVE,PASS,C5505,1013.9,4.7,46.4,2024-11-19,DTaP,4.8,2.2,2.0,Normal operation
B10005,2025-01-04 12:00:00,E5,6.1,4.3,22.3,19.7,ACTIVE,PASS,C5505,1013.6,4.9,46.1,2024-11-19,DTaP,5.0,2.3,2.0,Normal operation
B10005,2025-01-04 16:00:00,E5,5.5,4.7,22.5,19.8,ACTIVE,PASS,C5505,1013.4,5.0,45.9,2024-11-19,DTaP,5.1,2.4,2.0,Normal operation
B10005,2025-01-04 20:00:00,E5,6.4,5.8,22.0,19.6,ACTIVE,PASS,C5505,1013.7,4.8,46.2,2024-11-19,DTaP,4.9,2.2,2.0,Normal operation
B10006,2025-01-05 8:00:00,F1,3.9,3.8,22.2,19.7,ACTIVE,PASS,C5506,1013.5,5.1,46.0,2024-11-20,HPV,5.2,2.5,2.0,Normal operation
B10006,2025-01-05 12:00:00,F1,6.1,3.9,24.2,20.6,ACTIVE,PASS,C5506,1012.0,5.3,44.5,2024-11-20,HPV,5.4,2.6,2.0,Normal operation
B10006,2025-01-05 16:00:00,F1,6.1,4.0,23.8,20.3,ACTIVE,PASS,C5506,1012.3,5.1,44.8,2024-11-20,HPV,5.2,2.4,2.0,Normal operation
B10006,2025-01-05 20:00:00,F1,6.5,4.6,23.4,20.1,ACTIVE,PASS,C5506,1012.5,4.9,45.0,2024-11-20,HPV,5.0,2.3,2.0,Normal operation
B10007,2025-01-06 8:00:00,G2,5.2,4.8,21.8,19.4,ACTIVE,PASS,C5507,1014.0,4.5,46.5,2024-11-21,Rotavirus,4.6,2.1,2.0,Normal operation
B10007,2025-01-06 12:00:00,G2,5.3,3.4,22.1,19.6,ACTIVE,PASS,C5507,1013.7,4.7,46.2,2024-11-21,Rotavirus,4.8,2.2,2.0,Normal operation
B10007,2025-01-06 16:00:00,G2,5.7,4.9,22.3,19.7,ACTIVE,PASS,C5507,1013.5,4.8,46.0,2024-11-21,Rotavirus,4.9,2.3,2.0,Normal operation
B10007,2025-01-06 20:00:00,G2,6.2,2.9,22.0,19.5,ACTIVE,PASS,C5507,1013.8,4.6,46.3,2024-11-21,Rotavirus,4.7,2.1,2.0,Normal operation
B10008,2025-01-07 8:00:00,H3,5.9,4.4,22.4,19.8,ACTIVE,PASS,C5508,1013.3,5.2,45.8,2024-11-22,Pneumococcal,5.3,2.6,2.0,Normal operation
B10008,2025-01-07 12:00:00,H3,6.2,2.9,22.7,20.0,ACTIVE,PASS,C5508,1013.0,5.4,45.5,2024-11-22,Pneumococcal,5.5,2.7,2.0,Normal operation
B10008,2025-01-07 16:00:00,H3,5.4,4.4,21.0,18.5,ACTIVE,PASS,C5508,1013.8,5.2,47.0,2024-11-22,Pneumococcal,5.3,2.5,2.0,Normal operation
B10008,2025-01-07 20:00:00,H3,4.3,3.5,21.3,18.8,ACTIVE,PASS,C5508,1013.6,5.0,46.7,2024-11-22,Pneumococcal,5.1,2.4,2.0,Normal operation
B10009,2025-01-08 8:00:00,I4,6.5,5.4,21.7,19.3,ACTIVE,PASS,C5509,1014.1,4.3,46.6,2024-11-23,Meningococcal,4.4,1.9,2.0,Normal operation
B10009,2025-01-08 12:00:00,I4,5.7,5.0,22.0,19.5,ACTIVE,PASS,C5509,1013.8,4.5,46.3,2024-11-23,Meningococcal,4.6,2.0,2.0,Normal operation
B10009,2025-01-08 16:00:00,I4,6.2,5.4,22.2,19.6,ACTIVE,PASS,C5509,1013.6,4.6,46.1,2024-11-23,Meningococcal,4.7,2.1,2.0,Normal operation
B10009,2025-01-08 20:00:00,I4,5.9,3.4,21.9,19.4,ACTIVE,PASS,C5509,1013.9,4.4,46.4,2024-11-23,Meningococcal,4.5,2.0,2.0,Normal operation
B10010,2025-01-09 8:00:00,J5,5.9,5.6,22.2,19.7,ACTIVE,PASS,C5510,1013.5,5.0,46.0,2024-11-24,Influenza,5.1,2.4,2.0,Normal operation
B10010,2025-01-09 12:00:00,J5,7.4,2.7,22.5,19.9,ACTIVE,PASS,C5510,1013.2,5.2,45.7,2024-11-24,Influenza,5.3,2.6,2.0,Normal operation
B10010,2025-01-09 16:00:00,J5,4.5,2.4,22.7,20.0,ACTIVE,PASS,C5510,1013.0,5.3,45.5,2024-11-24,Influenza,5.4,2.7,2.0,Normal operation
B10010,2025-01-09 20:00:00,J5,3.6,2.7,22.4,19.8,ACTIVE,PASS,C5510,1013.3,5.1,45.8,2024-11-24,Influenza,5.2,2.5,2.0,Normal operation
B10011,2025-01-10 8:00:00,K1,5.8,5.6,21.9,19.5,ACTIVE,PASS,C5511,1013.9,4.7,46.4,2024-11-25,Tdap,4.8,2.2,2.0,Normal operation
B10011,2025-01-10 12:00:00,K1,3.6,3.2,23.8,20.3,ACTIVE,PASS,C5511,1012.4,4.5,45.0,2024-11-25,Tdap,4.6,2.1,2.0,Normal operation
B10011,2025-01-10 16:00:00,K1,6.5,6.3,23.3,20.1,ACTIVE,PASS,C5511,1012.7,4.3,45.3,2024-11-25,Tdap,4.4,2.0,2.0,Normal operation
B10011,2025-01-10 20:00:00,K1,5.9,3.8,22.5,19.9,ACTIVE,PASS,C5511,1013.1,4.1,45.6,2024-11-25,Tdap,4.2,1.9,2.0,Normal operation
B10012,2025-01-11 8:00:00,L2,7.5,3.2,21.5,19.2,ACTIVE,PASS,C5512,1014.2,4.0,46.7,2024-11-26,Hepatitis A,4.1,1.7,2.0,Normal operation
B10012,2025-01-11 12:00:00,L2,4.1,2.6,21.9,19.5,ACTIVE,PASS,C5512,1013.9,4.2,46.4,2024-11-26,Hepatitis A,4.3,1.8,2.0,Normal operation
B10012,2025-01-11 16:00:00,L2,2.9,2.7,22.1,19.6,ACTIVE,PASS,C5512,1013.7,4.4,46.2,2024-11-26,Hepatitis A,4.5,2.0,2.0,Normal operation
B10012,2025-01-11 20:00:00,L2,6.1,3.8,22.0,19.5,ACTIVE,PASS,C5512,1013.8,4.5,46.3,2024-11-26,Hepatitis A,4.6,2.1,2.0,Normal operation
B10013,2025-01-12 8:00:00,M3,4.6,3.5,22.1,19.6,ACTIVE,PASS,C5513,1013.7,4.9,46.2,2024-11-27,Varicella,5.0,2.3,2.0,Normal operation
B10013,2025-01-12 12:00:00,M3,5.3,2.7,24.1,20.6,ACTIVE,PASS,C5513,1012.1,5.1,44.7,2024-11-27,Varicella,5.2,2.4,2.0,Normal operation
B10013,2025-01-12 16:00:00,M3,6.5,2.6,23.6,20.3,ACTIVE,PASS,C5513,1012.3,4.9,44.9,2024-11-27,Varicella,5.0,2.3,2.0,Normal operation
B10013,2025-01-12 20:00:00,M3,5.4,5.2,23.1,20.1,ACTIVE,PASS,C5513,1012.6,4.7,45.2,2024-11-27,Varicella,4.8,2.2,2.0,Normal operation
B10014,2025-01-13 8:00:00,N4,6.5,3.9,21.8,19.4,ACTIVE,PASS,C5514,1014.0,4.6,46.5,2024-11-28,MMR,4.7,2.1,2.0,Normal operation
B10014,2025-01-13 12:00:00,N4,4.3,3.1,22.2,19.7,ACTIVE,PASS,C5514,1013.7,4.8,46.2,2024-11-28,MMR,4.9,2.2,2.0,Normal operation
B10014,2025-01-13 16:00:00,N4,5.6,3.6,22.4,19.8,ACTIVE,PASS,C5514,1013.5,4.9,46.0,2024-11-28,MMR,5.0,2.3,2.0,Normal operation
B10014,2025-01-13 20:00:00,N4,3.0,2.6,22.1,19.6,ACTIVE,PASS,C5514,1013.8,4.7,46.3,2024-11-28,MMR,4.8,2.2,2.0,Normal operation
B10015,2025-01-14 8:00:00,O5,6.3,6.1,22.3,19.8,ACTIVE,PASS,C5515,1013.4,5.0,45.9,2024-11-29,Polio,5.1,2.4,2.0,Normal operation
B10015,2025-01-14 12:00:00,O5,3.9,3.2,24.3,20.7,ACTIVE,PASS,C5515,1011.9,5.2,44.4,2024-11-29,Polio,5.3,2.5,2.0,Normal operation
B10015,2025-01-14 16:00:00,O5,3.5,3.3,23.9,20.4,ACTIVE,PASS,C5515,1012.2,5.0,44.7,2024-11-29,Polio,5.1,2.4,2.0,Normal operation
B10015,2025-01-14 20:00:00,O5,6.0,2.2,23.5,20.2,ACTIVE,PASS,C5515,1012.4,4.8,45.0,2024-11-29,Polio,4.9,2.3,2.0,Normal operation
B10016,2025-01-15 8:00:00,P1,5.8,4.6,21.7,19.3,ACTIVE,PASS,C5516,1014.1,4.4,46.6,2024-11-30,Hepatitis B,4.5,2.0,2.0,Normal operation
B10016,2025-01-15 12:00:00,P1,7.5,4.6,22.0,19.6,ACTIVE,PASS,C5516,1013.8,4.6,46.3,2024-11-30,Hepatitis B,4.7,2.1,2.0,Normal operation
B10016,2025-01-15 16:00:00,P1,6.1,3.1,22.2,19.7,ACTIVE,PASS,C5516,1013.6,4.7,46.1,2024-11-30,Hepatitis B,4.8,2.2,2.0,Normal operation
B10016,2025-01-15 20:00:00,P1,6.9,6.2,21.9,19.5,ACTIVE,PASS,C5516,1013.9,4.5,46.4,2024-11-30,Hepatitis B,4.6,2.1,2.0,Normal operation
B10017,2025-01-16 8:00:00,Q2,4.4,4.1,22.3,19.8,ACTIVE,PASS,C5517,1013.2,5.1,45.7,2024-12-01,DTaP,5.2,2.5,2.0,Normal operation
B10017,2025-01-16 12:00:00,Q2,6.8,6.4,22.6,20.0,ACTIVE,PASS,C5517,1013.0,5.3,45.5,2024-12-01,DTaP,5.4,2.7,2.0,Normal operation
B10017,2025-01-16 16:00:00,Q2,3.5,3.0,20.9,18.4,ACTIVE,PASS,C5517,1014.0,5.1,47.1,2024-12-01,DTaP,5.2,2.5,2.0,Normal operation
B10017,2025-01-16 20:00:00,Q2,3.6,3.4,21.2,18.7,ACTIVE,PASS,C5517,1013.7,4.9,46.8,2024-12-01,DTaP,5.0,2.4,2.0,Normal operation
B10018,2025-01-17 8:00:00,R3,3.9,3.5,21.6,19.2,ACTIVE,PASS,C5518,1014.3,4.2,46.8,2024-12-02,HPV,4.3,1.8,2.0,Normal operation
B10018,2025-01-17 12:00:00,R3,5.2,3.7,21.9,19.5,ACTIVE,PASS,C5518,1014.0,4.4,46.5,2024-12-02,HPV,4.5,1.9,2.0,Normal operation
B10018,2025-01-17 16:00:00,R3,6.8,3.3,22.1,19.6,ACTIVE,PASS,C5518,1013.8,4.5,46.3,2024-12-02,HPV,4.6,2.0,2.0,Normal operation
B10018,2025-01-17 20:00:00,R3,4.3,3.4,21.8,19.4,ACTIVE,PASS,C5518,1014.1,4.3,46.6,2024-12-02,HPV,4.4,1.9,2.0,Normal operation
B10019,2025-01-18 8:00:00,S4,3.7,3.1,22.1,19.6,ACTIVE,PASS,C5519,1013.7,4.9,46.2,2024-12-03,Rotavirus,5.0,2.3,2.0,Normal operation
B10019,2025-01-18 12:00:00,S4,6.4,4.5,23.7,20.2,ACTIVE,PASS,C5519,1012.5,5.1,45.1,2024-12-03,Rotavirus,5.2,2.4,2.0,Normal operation
B10019,2025-01-18 16:00:00,S4,6.1,2.6,23.2,20.0,ACTIVE,PASS,C5519,1012.8,4.9,45.4,2024-12-03,Rotavirus,5.0,2.3,2.0,Normal operation
B10019,2025-01-18 20:00:00,S4,3.7,2.7,22.4,19.8,ACTIVE,PASS,C5519,1013.2,4.7,45.7,2024-12-03,Rotavirus,4.8,2.2,2.0,Normal operation
B10020,2025-01-19 8:00:00,T5,4.7,4.1,21.6,19.2,ACTIVE,PASS,C5520,1014.3,3.9,46.8,2024-12-04,Pneumococcal,4.0,1.6,2.0,Normal operation
B10020,2025-01-19 12:00:00,T5,5.7,2.9,21.8,19.4,ACTIVE,PASS,C5520,1014.1,4.1,46.6,2024-12-04,Pneumococcal,4.2,1.7,2.0,Normal operation
B10020,2025-01-19 16:00:00,T5,5.6,4.1,22.0,19.5,ACTIVE,PASS,C5520,1013.9,4.3,46.4,2024-12-04,Pneumococcal,4.4,1.9,2.0,Normal operation
B10020,2025-01-19 20:00:00,T5,5.1,3.3,21.9,19.4,ACTIVE,PASS,C5520,1014.0,4.4,46.5,2024-12-04,Pneumococcal,4.5,2.0,2.0,Normal operation
B10021,2025-01-20 8:00:00,U1,4.6,3.9,22.0,19.5,ACTIVE,PASS,C5521,1013.8,4.8,46.3,2024-12-05,Meningococcal,4.9,2.2,2.0,Normal operation
B10021,2025-01-20 12:00:00,U1,4.7,4.3,24.2,20.7,ACTIVE,PASS,C5521,1012.0,5.0,44.5,2024-12-05,Meningococcal,5.1,2.4,2.0,Normal operation
B10021,2025-01-20 16:00:00,U1,4.2,3.8,23.7,20.4,ACTIVE,PASS,C5521,1012.3,4.8,44.8,2024-12-05,Meningococcal,4.9,2.3,2.0,Normal operation
B10021,2025-01-20 20:00:00,U1,4.3,4.0,23.3,20.1,ACTIVE,PASS,C5521,1012.6,4.6,45.1,2024-12-05,Meningococcal,4.7,2.2,2.0,Normal operation
B10022,2025-01-21 8:00:00,V2,7.5,5.0,21.7,19.3,ACTIVE,PASS,C5522,1014.2,4.5,46.7,2024-12-06,Influenza,4.6,2.0,2.0,Normal operation
B10022,2025-01-21 12:00:00,V2,7.9,3.7,22.0,19.6,ACTIVE,PASS,C5522,1013.9,4.7,46.4,2024-12-06,Influenza,4.8,2.2,2.0,Normal operation
B10022,2025-01-21 16:00:00,V2,5.9,5.2,22.2,19.7,ACTIVE,PASS,C5522,1013.7,4.8,46.2,2024-12-06,Influenza,4.9,2.3,2.0,Normal operation
B10022,2025-01-21 20:00:00,V2,4.7,3.0,21.9,19.5,ACTIVE,PASS,C5522,1014.0,4.6,46.5,2024-12-06,Influenza,4.7,2.1,2.0,Normal operation
B10023,2025-01-22 8:00:00,W3,6.6,5.7,22.1,19.6,ACTIVE,PASS,C5523,1013.7,4.9,46.2,2024-12-07,Tdap,5.0,2.3,2.0,Normal operation
B10023,2025-01-22 12:00:00,W3,4.2,3.5,24.4,20.8,ACTIVE,PASS,C5523,1011.8,5.1,44.3,2024-12-07,Tdap,5.2,2.4,2.0,Normal operation
B10023,2025-01-22 16:00:00,W3,5.5,4.5,24.0,20.5,ACTIVE,PASS,C5523,1012.1,4.9,44.6,2024-12-07,Tdap,5.0,2.3,2.0,Normal operation
B10023,2025-01-22 20:00:00,W3,5.6,3.7,23.6,20.3,ACTIVE,PASS,C5523,1012.3,4.7,44.9,2024-12-07,Tdap,4.8,2.2,2.0,Normal operation
B10024,2025-01-23 8:00:00,X4,6.3,4.3,21.5,19.1,ACTIVE,PASS,C5524,1014.4,4.3,46.9,2024-12-08,Hepatitis A,4.4,1.9,2.0,Normal operation
B10024,2025-01-23 12:00:00,X4,5.1,2.9,21.8,19.4,ACTIVE,PASS,C5524,1014.1,4.5,46.6,2024-12-08,Hepatitis A,4.6,2.0,2.0,Normal operation
B10024,2025-01-23 16:00:00,X4,6.7,5.5,22.0,19.5,ACTIVE,PASS,C5524,1013.9,4.6,46.4,2024-12-08,Hepatitis A,4.7,2.1,2.0,Normal operation
B10024,2025-01-23 20:00:00,X4,5.5,5.1,21.7,19.3,ACTIVE,PASS,C5524,1014.2,4.4,46.7,2024-12-08,Hepatitis A,4.5,2.0,2.0,Normal operation
